Date,Close,Adj Close,Volume
5/29/2012,6.338,6.338,8250000
5/30/2012,6.082,6.082,6536000
5/31/2012,5.9,5.9,5593500
6/1/2012,5.63,5.63,4429000
6/4/2012,5.576,5.576,5154500
6/5/2012,5.582,5.582,3154500
6/6/2012,5.844,5.844,4549500
6/7/2012,5.786,5.786,2460500
6/8/2012,6.016,6.016,4405500
6/11/2012,5.824,5.824,3180000
6/12/2012,5.932,5.932,2845000
6/13/2012,5.954,5.954,4220500
6/14/2012,5.878,5.878,4361000
6/15/2012,5.982,5.982,3234000
6/18/2012,6.368,6.368,6284000
6/19/2012,6.418,6.418,4555500
6/20/2012,6.756,6.756,17112000
6/21/2012,6.438,6.438,9459500
6/22/2012,6.758,6.758,15233000
6/25/2012,6.622,6.622,7492500
6/26/2012,6.322,6.322,13069500
6/27/2012,6.392,6.392,5236000
6/28/2012,6.282,6.282,4570500
6/29/2012,6.258,6.258,5629000
7/2/2012,6.08,6.08,6578000
7/3/2012,6.132,6.132,4735000
7/5/2012,6.246,6.246,6269000
7/6/2012,6.198,6.198,3922500
7/9/2012,6.298,6.298,4552500
7/10/2012,6.254,6.254,3792000
7/11/2012,6.302,6.302,3193000
7/12/2012,6.54,6.54,5628500
7/13/2012,6.85,6.85,6524000
7/16/2012,7.192,7.192,8720000
7/17/2012,6.67,6.67,12846500
7/18/2012,6.43,6.43,14409500
7/19/2012,6.454,6.454,7179500
7/20/2012,6.358,6.358,7842500
7/23/2012,6.132,6.132,6934000
7/24/2012,5.968,5.968,7501500
7/25/2012,5.79,5.79,14211000
7/26/2012,5.626,5.626,11311500
7/27/2012,5.902,5.902,8365000
7/30/2012,5.47,5.47,10326000
7/31/2012,5.484,5.484,7875500
8/1/2012,5.25,5.25,7961500
8/2/2012,5.22,5.22,6525500
8/3/2012,5.454,5.454,6047500
8/6/2012,5.654,5.654,7641000
8/7/2012,6.05,6.05,11936000
8/8/2012,5.818,5.818,6544500
8/9/2012,5.882,5.882,3363000
8/10/2012,5.988,5.988,3537000
8/13/2012,6.234,6.234,4350500
8/14/2012,5.884,5.884,3967000
8/15/2012,5.88,5.88,2627000
8/16/2012,6.06,6.06,3345000
8/17/2012,6.002,6.002,2541000
8/20/2012,5.902,5.902,5895500
8/21/2012,5.822,5.822,3808000
8/22/2012,5.99,5.99,3877500
8/23/2012,6.146,6.146,7355000
8/24/2012,5.9,5.9,7147000
8/27/2012,5.664,5.664,6752000
8/28/2012,5.738,5.738,7013500
8/29/2012,5.682,5.682,4194500
8/30/2012,5.682,5.682,3282000
8/31/2012,5.704,5.704,2699000
9/4/2012,5.628,5.628,3762500
9/5/2012,5.588,5.588,3196500
9/6/2012,5.71,5.71,4208500
9/7/2012,5.87,5.87,4766000
9/10/2012,5.474,5.474,7416500
9/11/2012,5.56,5.56,5074500
9/12/2012,5.656,5.656,5726000
9/13/2012,5.896,5.896,7423500
9/14/2012,6.078,6.078,7683000
9/17/2012,6.508,6.508,16064000
9/18/2012,6.268,6.268,8942500
9/19/2012,6.21,6.21,5242500
9/20/2012,6.18,6.18,4562000
9/21/2012,6.004,6.004,9350000
9/24/2012,6.132,6.132,6509500
9/25/2012,5.532,5.532,28402000
9/26/2012,5.508,5.508,7636000
